link,title,kcal,protein,carbohydrates,sugars,fat,saturates,fibre,salt
homemade_falafels_with_30527,Homemade falafels with salad and pitta bread (435 kcal),435,14,53,6,18.5,3,7,1.3
garlic_mushroom_frittata_50129,Garlic mushroom frittata  (243 kcal),243
carrotandcorianderso_1919,Carrot and coriander soup (87 kcal),87,2.2,11.7,10.2,3.4,0.4,4.2,1.9
chermoula_tofu_and_24910,Chermoula tofu and roasted vegetables (182 kcal),182
healthyspaghettibolo_80401,Healthy spaghetti bolognese (413 kcal),413,23,55.9,10.1,11.2,3.6,12.1,0.8
italian_style_meatballs_69955,Italian style meatballs with courgette \xe2\x80\x98tagliatelle\xe2\x80\x99 (219 kcal),219
jumbo_prawns_with_15297,Jumbo prawns with tomatoes and garlic  (180 kcal),180
thaisteamedsalmon_7254,Thai steamed salmon (346 kcal),346,38.7,2.4,2.3,20.1,3.4,2.8,4.7
malaysianspicednoodl_88721,Malaysian-spiced noodles with tofu (712 kcal),712,18,81,4,34,17,1,3
scrambled_egg_with_15456,Scrambled eggs with smoked salmon  (263 kcal),263
quickchickenmadras_67786,Quick chicken Madras (323 kcal),323,38,6.5,5,16,8,3.5,0.7
quick_beany_enchiladas_63257,Quick beany enchiladas (648 kcal),648,28,74,15,26,12,18,3.2
hearty_vegetable_soup_14365,Hearty vegetable soup (219 kcal),219
berry_yoghurt_95274,Berry yoghurt (149 kcal),149
extra_lean_burger_and_59164,Extra-lean burger and salad (255 kcal),255
chicken_and_vegetable_65850,Chicken and vegetable balti (341 kcal),341
moroccan_baked_eggs_12048,Moroccan baked eggs (170 kcal),170
crunchy_banana_yoghurt_48211,Crunchy banana yoghurt (149 kcal),149
warm_chicken_salad_03629,Warm chicken salad (205 kcal),205
lamb_and_flageolet_bean_62432,Lamb and flageolet bean stew (288 kcal),288
chicken_pho_97726,Chicken pho (447 kcal),447,58,43,3.5,3,0.7,1,4
poached_eggs_with_bacon_34208,Poached eggs with bacon and tomatoes  (212 kcal),212
caponata_ratatouille_73197,Caponata ratatouille (90 kcal),90
stir_fried_pork_with_85173,Stir-fried pork with ginger and soy sauce  (250 kcal),250
courgetti_spaghetti_with_07741,Courgetti spaghetti with tomato and butter bean pesto  (378 kcal),378,10,14,5,31,6,11,0.9
butternut_squash_and_46813,Butternut squash and root veg hotpot  (629 kcal),629,13,79,24,29,11,16,1.8
vegetables_with_red_91408,Vegetables with red pepper rouille  (142 kcal),142
homemade_beans_on_toast_46976,Homemade beans on toast (322 kcal),322,18,32,5,14,5,5,1.7
kale_and_quinoa_saut_64469,Kale and quinoa saut\xc3\xa9 with orange tahini dressing          (464 kcal),464,19,48,7,22,4,7,0.3
squash_and_turkey_bake_56859,Squash and turkey bake  (406 kcal),406,40,22,12,10,3,6,0.5
spinachaubergineandc_88020,"Spinach, aubergine and chickpea curry (251 kcal)",251,13,8.3,11.6,15.9,2.1,13.5,1.2
quinoa_goji_tabbouleh_96233,Quinoa goji tabbouleh  (312 kcal),312,9,31,10,17,3,4,0.2
teriyakisalmon_66107,Teriyaki salmon (524 kcal),524,35.5,39.5,14.5,24.9,4.5,1.4,5.8
smoky_bean_chipotle_stew_30894,Smoky bean chilli with quinoa (501 kcal),501,18,71,18,16,3,17,1.4
no-churn_blueberry_and_24948,No-churn blueberry and lemon ice cream (224 kcal),224,14,42.1,42,0.2,0,5,0.1
simple_miso_tofu_and_03158,"Simple miso, tofu and mushroom ramen (550 kcal)",550,33,45,4.5,27,5.7,6,4
chicken_leek_and_17968,"Chicken, leek and mushroom pie with cauliflower mash topping (522 kcal)",522,61,17,14,23,11,13.5,1.6
lamb_and_lentil_curry_83678,Lamb and lentil curry (490 kcal),490,36,28,7,26,9,5,2.3
minestrone_with_35108,Minestrone with butternut squash \xe2\x80\x98noodles\xe2\x80\x99 (348 kcal),348,18,45,18,11,4,16,2.5
black_bean_and_avocado_32747,Black bean and avocado salad     (549 kcal),549,17,40,13.5,36,6,22,2
miso_ramen_soup_with_15548,Miso ramen soup with buckwheat noodles (458 kcal),458,20,72.5,8.5,10,0.8,9,3
apricot_chestnut_and_76988,"Apricot, chestnut and aduki balls with roasted vegetables and white wine miso gravy (527 kcal)",527,18,87,37,16,10.5,33,2.5
apple_rocket_and_feta_26780,"Apple, rocket and feta buckwheat galettes (490 kcal)",490,13,35,13,33,20,4,2.5
vegetarian_shepherds_pie_73637,Vegetable shepherd\xe2\x80\x99s pie (416 kcal),416,17,68,19,6,2.5,15,1.5
rolled_lemon_pancakes_83289,Rolled lemon pancakes with blueberries and yoghurt (406 kcal),406,13.5,40,18,21,14,7,1.1
shepherdspiewithspic_83899,Shepherd's pie with spiced parsnip mash (814 kcal),814,49,39,18.5,56,29,17,1.4
spicy_chilli_con_carne_58238,Spicy chilli con carne with guacamole (393 kcal),393,30,12,10,23,7,4,0.4
spiced_north-african_82972,Spiced North African-style eggs with homemade flatbreads (509 kcal),509,24,56,10,22,7,6,1.7
sea_bream_with_a_77021,Sea bream with a courgette salad with fresh mint and rocket (551 kcal),551,39,11,8,36,4.5,2.6,1.7
horlixier_49938,Spiced hot coconut drink (130 kcal),130,2,5,2,11,10,0.2,0.2
roasted_cauliflower_and_49517,Roasted cauliflower and lentil salad with red pepper sauce (552 kcal),552,29,57,9,23,5,11,0.4
roast_loin_of_lamb_peas_19776,"Roast loin of lamb, peas, lettuce and bacon (451 kcal)",451,37,5.5,2.5,31,14.5,2.3,1.9
roastcodwithalemonga_3477,"Roast cod with a lemon, garlic and parsley crust (322 kcal)",322,33,16,0.6,14,8,0.6,0.9
